page_index,status,translation_model,notes
2,failed,gemini-1.5-flash,"404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
2,success,gemini-flash-latest,
3,success,gemini_agent,
4,success,gemini_agent,
5,success,gemini_agent,note:overlaps_page_4
6,success,gemini_agent,
7,success,gemini_agent,
8,success,gemini_agent,
9,success,gemini_agent,
10,success,gemini_agent,
11,success,gemini_agent,
12,success,gemini_agent,
13,success,gemini_agent,
14,success,gemini_agent,
15,success,gemini_agent,
16,success,gemini_agent,
17,success,gemini_agent,
18,success,gemini_agent,
19,success,gemini_agent,
20,success,gemini_agent,
21,success,gemini_agent,
22,success,gemini_agent,
23,success,gemini_agent,
24,success,gemini_agent,
25,success,gemini_agent,
26,success,gemini_agent,
27,success,gemini_agent,
28,success,gemini_agent,
29,success,gemini_agent,
30,success,gemini_agent,
31,success,gemini_agent,
32,success,gemini_agent,
33,success,gemini_agent,
34,success,gemini_agent,
35,success,gemini_agent,
36,success,gemini_agent,
37,success,gemini_agent,
38,success,gemini_agent,
39,success,gemini_agent,
40,success,gemini_agent,
41,success,gemini_agent,
42,success,gemini_agent,
43,success,gemini_agent,
44,success,gemini_agent,
45,success,gemini_agent,
46,success,gemini_agent,
47,success,gemini_agent,
48,success,gemini_agent,
49,success,gemini_agent,
50,success,gemini_agent,
51,success,gemini_agent,
52,success,gemini_agent,
53,success,gemini_agent,
54,success,gemini_agent,
55,success,gemini_agent,
56,success,gemini_agent,
57,success,gemini_agent,
58,success,gemini_agent,
59,success,gemini_agent,
60,success,gemini_agent,
61,success,gemini_agent,
62,success,gemini_agent,
63,success,gemini_agent,
64,success,gemini_agent,
65,success,gemini_agent,
66,success,gemini_agent,
67,success,gemini_agent,
68,success,gemini_agent,
69,success,gemini_agent,
70,success,gemini_agent,
71,success,gemini_agent,
72,success,gemini_agent,
73,success,gemini_agent,
74,success,gemini_agent,
75,success,gemini_agent,
76,success,gemini_agent,
77,success,gemini_agent,
78,success,gemini_agent,
79,success,gemini_agent,
80,success,gemini_agent,
81,success,gemini_agent,
82,success,gemini_agent,
83,success,gemini_agent,
84,success,gemini_agent,
85,success,gemini_agent,
86,success,gemini_agent,
87,success,gemini_agent,
88,success,gemini_agent,
89,success,gemini_agent,
90,success,gemini_agent,
91,success,gemini_agent,
92,success,gemini_agent,
93,success,gemini_agent,
94,success,gemini_agent,
95,success,gemini_agent,
96,success,gemini_agent,
97,success,gemini_agent,
98,success,gemini_agent,
99,success,gemini_agent,
100,success,gemini_agent,
101,success,gemini_agent,
102,success,gemini_agent,
103,success,gemini_agent,
104,success,gemini_agent,
105,success,gemini_agent,
106,success,gemini_agent,
107,success,gemini_agent,
108,success,gemini_agent,
109,success,gemini_agent,
110,success,gemini_agent,
111,success,gemini_agent,
112,success,gemini_agent,
113,success,gemini_agent,
114,success,gemini_agent,
115,success,gemini_agent,
116,success,gemini_agent,
117,success,gemini_agent,
118,success,gemini_agent,
119,success,gemini_agent,
120,success,gemini_agent,
