page_index,source_image,page_type,engine_used,mean_confidence,low_confidence,word_count,notes
195,IMG_20260126_172828660.jpg,TEXT_PAGE,tesseract,46.9,True,286,
196,IMG_20260126_172837410.jpg,CLIPPING_PAGE,tesseract,36.46,True,209,
2,IMG_20260126_165038323.jpg,TEXT_PAGE,tesseract,87.26,False,203,
20,IMG_20260126_165506808.jpg,TEXT_PAGE,tesseract,90.47,False,437,
21,IMG_20260126_165515485.jpg,TEXT_PAGE,tesseract,90.59,False,414,
22,IMG_20260126_165519525.jpg,TEXT_PAGE,tesseract,78.76,False,528,
23,IMG_20260126_165527139.jpg,TEXT_PAGE,tesseract,83.63,False,342,
24,IMG_20260126_165531055.jpg,TEXT_PAGE,tesseract,87.94,False,409,
25,IMG_20260126_165540660.jpg,TEXT_PAGE,tesseract,78.99,False,200,
26,IMG_20260126_165546307.jpg,CLIPPING_PAGE,tesseract,86.51,False,286,
27,IMG_20260126_165555457.jpg,TEXT_PAGE,tesseract,79.4,False,426,
28,IMG_20260126_165558989.jpg,TEXT_PAGE,tesseract,78.57,False,387,
29,IMG_20260126_165607750.jpg,TEXT_PAGE,tesseract,86.34,False,415,
3,IMG_20260126_165052287.jpg,TEXT_PAGE,tesseract,92.21,False,171,
30,IMG_20260126_165610793.jpg,TEXT_PAGE,tesseract,80.12,False,199,
31,IMG_20260126_165618323.jpg,TEXT_PAGE,tesseract,81.21,False,385,
32,IMG_20260126_165621995.jpg,TEXT_PAGE,tesseract,69.95,True,260,
33,IMG_20260126_165629122.jpg,TEXT_PAGE,tesseract,89.22,False,408,
34,IMG_20260126_165634959.jpg,TEXT_PAGE,tesseract,80.92,False,197,
35,IMG_20260126_165641081.jpg,TEXT_PAGE,tesseract,85.85,False,286,
36,IMG_20260126_165644688.jpg,TEXT_PAGE,tesseract,80.41,False,427,
37,IMG_20260126_165656233.jpg,TEXT_PAGE,tesseract,88.13,False,507,
38,IMG_20260126_165704154.jpg,CLIPPING_PAGE,tesseract,82.91,False,197,
39,IMG_20260126_165711826.jpg,TEXT_PAGE,tesseract,88.69,False,373,
4,IMG_20260126_165058759.jpg,TEXT_PAGE,tesseract,92.11,False,257,
40,IMG_20260126_165717160.jpg,TEXT_PAGE,tesseract,84.53,False,378,
41,IMG_20260126_165724385.jpg,TEXT_PAGE,tesseract,82.88,False,375,
42,IMG_20260126_165732542.jpg,TEXT_PAGE,tesseract,82.75,False,319,
43,IMG_20260126_165743473.jpg,TEXT_PAGE,tesseract,84.48,False,507,
44,IMG_20260126_165750629.jpg,TEXT_PAGE,tesseract,75.54,False,315,
45,IMG_20260126_165758360.jpg,TEXT_PAGE,tesseract,80.7,False,331,
46,IMG_20260126_165808269.jpg,TEXT_PAGE,tesseract,83.17,False,307,rotated -270 degrees
47,IMG_20260126_165815944.jpg,TEXT_PAGE,tesseract,91.45,False,356,rotated -270 degrees
48,IMG_20260126_165819742.jpg,TEXT_PAGE,tesseract,88.22,False,449,rotated -270 degrees
49,IMG_20260126_165827360.jpg,TEXT_PAGE,tesseract,86.57,False,301,rotated -270 degrees
5,IMG_20260126_165102470.jpg,TEXT_PAGE,tesseract,89.27,False,259,
50,IMG_20260126_165829997.jpg,TEXT_PAGE,tesseract,88.82,False,389,rotated -270 degrees
51,IMG_20260126_165837802.jpg,TEXT_PAGE,tesseract,88.28,False,420,rotated -270 degrees
52,IMG_20260126_171207598.jpg,TEXT_PAGE,tesseract,85.84,False,225,
53,IMG_20260126_171218869.jpg,TEXT_PAGE,tesseract,88.48,False,351,rotated -270 degrees
54,IMG_20260126_171224159.jpg,TEXT_PAGE,tesseract,86.9,False,288,rotated -270 degrees
55,IMG_20260126_171230341.jpg,TEXT_PAGE,tesseract,81.5,False,329,rotated -270 degrees
56,IMG_20260126_171235696.jpg,CLIPPING_PAGE,tesseract,83.71,False,261,rotated -270 degrees
57,IMG_20260126_171241951.jpg,CLIPPING_PAGE,tesseract,67.02,True,124,rotated -270 degrees
58,IMG_20260126_171247547.jpg,CLIPPING_PAGE,tesseract,88.74,False,357,rotated -270 degrees
59,IMG_20260126_171306628.jpg,CLIPPING_PAGE,tesseract,70.95,False,298,
6,IMG_20260126_165112027.jpg,TEXT_PAGE,tesseract,90.02,False,364,
60,IMG_20260126_171313913.jpg,TEXT_PAGE,tesseract,83.74,False,299,
61,IMG_20260126_171317493.jpg,TEXT_PAGE,tesseract,77.6,False,467,
62,IMG_20260126_171324050.jpg,TEXT_PAGE,tesseract,88.21,False,369,
63,IMG_20260126_171328192.jpg,TEXT_PAGE,tesseract,76.35,False,421,
64,IMG_20260126_171334486.jpg,TEXT_PAGE,tesseract,81.78,False,355,
65,IMG_20260126_171337836.jpg,TEXT_PAGE,tesseract,86.68,False,314,
66,IMG_20260126_171345590.jpg,TEXT_PAGE,tesseract,89.13,False,406,
67,IMG_20260126_171404627.jpg,TEXT_PAGE,tesseract,79.29,False,473,
68,IMG_20260126_171412736.jpg,TEXT_PAGE,tesseract,81.52,False,298,
69,IMG_20260126_171418764.jpg,TEXT_PAGE,tesseract,78.23,False,219,
7,IMG_20260126_165124840.jpg,TEXT_PAGE,tesseract,84.81,False,363,
70,IMG_20260126_171427348.jpg,TEXT_PAGE,tesseract,85.77,False,427,
71,IMG_20260126_171432242.jpg,TEXT_PAGE,tesseract,90.63,False,487,
72,IMG_20260126_171440010.jpg,TEXT_PAGE,tesseract,88.59,False,225,
73,IMG_20260126_171443561.jpg,TEXT_PAGE,tesseract,88.9,False,390,
74,IMG_20260126_171500238.jpg,TEXT_PAGE,tesseract,86.03,False,364,
75,IMG_20260126_171503047.jpg,TEXT_PAGE,tesseract,75.9,False,395,
76,IMG_20260126_171518430.jpg,TEXT_PAGE,tesseract,83.25,False,274,
77,IMG_20260126_171523049.jpg,TEXT_PAGE,tesseract,81.67,False,447,
78,IMG_20260126_171529424.jpg,TEXT_PAGE,tesseract,78.76,False,447,
79,IMG_20260126_171532815.jpg,TEXT_PAGE,tesseract,86.88,False,281,
8,IMG_20260126_165347507.jpg,TEXT_PAGE,tesseract,91.12,False,365,
